TestDate;sites_Collection;pop;trait;dose_ppm;dose;Replique;mort;vivant;total;populations;Traitements
20/06/2019;Koira_tagui;An_g;bact_gris;0.5ppm;0.5;3;4;21;25;An_gambiae;Bactivec+Griselesf
17/06/2019;Koira_tagui;culexp;bact_gris;1000ppm;1000;4;25;0;25;Culex_pipens;Bactivec+Griselesf
17/06/2019;Koira_tagui;culexp;bact_gris;100ppm;100;4;25;0;25;Culex_pipens;Bactivec+Griselesf
17/06/2019;Koira_tagui;culexp;bact_gris;10ppm;10;4;25;0;25;Culex_pipens;Bactivec+Griselesf
17/06/2019;Koira_tagui;culexp;bact_gris;5ppm;5;4;25;0;25;Culex_pipens;Bactivec+Griselesf
17/06/2019;Koira_tagui;culexp;bact_gris;1ppm;1;4;25;0;25;Culex_pipens;Bactivec+Griselesf
17/06/2019;Koira_tagui;culexp;bact_gris;0.5ppm;0.5;4;12;13;25;Culex_pipens;Bactivec+Griselesf
20/06/2019;Koira_tagui;An_g;bact_gris;1000ppm;1000;4;25;0;25;An_gambiae;Bactivec+Griselesf
20/06/2019;Koira_tagui;An_g;bact_gris;100ppm;100;4;25;0;25;An_gambiae;Bactivec+Griselesf
20/06/2019;Koira_tagui;An_g;bact_gris;10ppm;10;4;25;0;25;An_gambiae;Bactivec+Griselesf
20/06/2019;Koira_tagui;An_g;bact_gris;5ppm;5;4;21;4;25;An_gambiae;Bactivec+Griselesf
20/06/2019;Koira_tagui;An_g;bact_gris;1ppm;1;4;15;10;25;An_gambiae;Bactivec+Griselesf
20/06/2019;Koira_tagui;An_g;bact_gris;0.5ppm;0.5;4;3;22;25;An_gambiae;Bactivec+Griselesf
